rating,price_€,sim_dual,sim_sing,sim_3G,sim_4G,sim_5G,sim_volte,sim_wifi,sim_nfc,sim_irc_bl,sim_vo5g,ram_,memory_int(MB),battery_mAh,battery_w,display_inch,display_hz
89.0,604.9889999999999,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,5000.0,100.0,6.7,120.0
81.0,219.879,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.59,120.0
75.0,181.489,1,0,1,1,1,1,1,0,0,0,4096.0,65536.0,5000.0,15.0,6.6,90.0
81.0,164.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,,6.55,120.0
82.0,274.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,67.0,6.7,120.0
80.0,186.989,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,5000.0,25.0,6.6,120.0
81.0,725.9889999999999,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,3279.0,,6.1,
86.0,329.989,1,0,1,1,1,1,1,0,1,0,8192.0,262144.0,4980.0,120.0,6.67,120.0
85.0,294.239,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4500.0,33.0,6.55,120.0
84.0,318.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4500.0,80.0,6.43,90.0
82.0,208.989,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,33.0,6.72,120.0
79.0,208.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,33.0,6.56,90.0
79.0,272.382,1,0,1,1,1,1,1,0,1,0,6144.0,131072.0,5000.0,67.0,6.67,120.0
80.0,186.89,1,0,1,1,1,1,1,0,0,0,6144.0,131072.0,5000.0,18.0,6.58,120.0
,1264.89,1,0,1,1,1,1,1,1,0,1,8192.0,262144.0,5000.0,45.0,6.8,120.0
79.0,692.9889999999999,1,0,1,1,1,1,1,1,0,0,4096.0,131072.0,3240.0,,6.1,
65.0,109.989,1,0,1,1,0,1,1,0,0,0,3072.0,32768.0,5000.0,10.0,6.51,
86.0,505.989,1,0,1,1,1,1,1,1,0,0,16384.0,262144.0,4700.0,80.0,6.7,120.0
86.0,362.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,80.0,6.7,120.0
72.0,159.489,1,0,1,1,0,1,1,0,0,0,4096.0,65536.0,5000.0,18.0,6.55,
85.0,439.989,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,5000.0,100.0,6.7,120.0
85.0,395.989,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4830.0,66.0,6.56,120.0
80.0,164.989,1,0,1,1,1,1,1,0,1,0,6144.0,65536.0,5000.0,67.0,6.67,120.0
76.0,196.449,1,0,1,1,1,1,1,0,1,0,4096.0,131072.0,5000.0,33.0,6.67,120.0
87.0,472.89,1,0,1,1,1,1,1,1,0,0,12288.0,262144.0,4800.0,100.0,6.7,120.0
88.0,343.629,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4500.0,,6.5,120.0
84.0,241.945,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,33.0,6.59,120.0
76.0,1429.89,1,0,1,1,1,1,1,1,0,0,6144.0,131072.0,4323.0,,6.7,120.0
83.0,307.989,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,4500.0,44.0,6.44,90.0
,769.9889999999999,1,0,1,1,1,1,1,1,0,0,8192.0,131072.0,4500.0,100.0,6.7,120.0
84.0,219.989,1,0,1,1,1,1,1,0,0,0,8192.0,131072.0,5000.0,33.0,6.72,120.0
81.0,230.989,1,0,1,1,1,1,1,1,1,0,6144.0,131072.0,5000.0,67.0,6.67,120.0
83.0,307.89,1,0,1,1,1,1,1,0,0,0,8192.0,262144.0,4700.0,67.0,6.56,120.0
73.0,428.989,1,0,1,1,0,1,1,1,0,0,4096.0,65536.0,3110.0,,6.1,
